"url","id","definition_it","definition_en","label_it","label_en"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoAgibilitaImmobile/A","A","Immobile agibile","Property habitable","AGIBILE","HABITABLE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoAgibilitaImmobile/N","N","Immobile non agibile","Property uninhabitable","NON AGIBILE","UNINHABITABLE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoAgibilitaImmobile/ND","ND","Stato di agibilità non definito","Habitability status not defined","NON DEFINITO","NOT DEFINED"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoAgibilitaImmobile/R","R","Immobile in corso di ristrutturazione","Property under renovation","IN CORSO DI RISTRUTTURAZIONE","UNDER RENOVATION"
